,Unnamed: 0,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度,known,unknown
32,32,2021-07-01,15143.0,643.0,0.0,6.0,21.0,94.0,320.0,7.0,229.0,232.0,14.0,130.0,292.0,598.0,317.0,211.0,137.0,170.0,4628.0,12.0,433.0,326.0,279.0,1193.0,150.0,498.0,488.0,1212.0,494.0,158.0,31.0,9.0,0.0,185.0,284.0,132.0,23.0,108.0,161.0,7.0,229.0,48.0,4.0,94.0,2.0,95.0,438.0,1.0,0.0,643.0,448.0,1824.0,951.0,6576.0,2881.0,610.0,299.0,910.0,1.0,2021,7,1425770,参考第2表(7月),福井県,136.5112,35.7744,15143.0,0.0
33,33,2021-06-01,4561.0,15.0,0.0,0.0,8.0,0.0,0.0,6.0,5.0,2.0,11.0,51.0,54.0,191.0,78.0,27.0,58.0,125.0,2170.0,0.0,38.0,110.0,36.0,546.0,42.0,174.0,160.0,389.0,166.0,45.0,4.0,0.0,2.0,12.0,2.0,4.0,0.0,3.0,7.0,5.0,4.0,1.0,0.0,1.0,2.0,5.0,0.0,2.0,0.0,15.0,14.0,392.0,248.0,2904.0,938.0,20.0,15.0,13.0,2.0,2021,6,1420780,参考第2表(6月),福井県,136.5451,35.6696,4561.0,0.0
34,34,2021-05-01,6558.0,22.0,1.0,3.0,17.0,2.0,6.0,9.0,15.0,18.0,33.0,125.0,79.0,384.0,110.0,28.0,129.0,178.0,2691.0,4.0,60.0,203.0,65.0,731.0,96.0,307.0,277.0,513.0,226.0,102.0,8.0,0.0,2.0,17.0,23.0,16.0,11.0,13.0,2.0,0.0,22.0,0.0,3.0,0.0,0.0,5.0,0.0,2.0,0.0,22.0,38.0,768.0,395.0,3786.0,1433.0,58.0,26.0,30.0,2.0,2021,5,1416262,参考第2表(5月),福井県,136.6416,35.6436,6558.0,0.0
35,35,2021-04-01,5926.0,23.0,1.0,0.0,8.0,0.0,0.0,9.0,14.0,4.0,27.0,43.0,60.0,409.0,147.0,21.0,103.0,169.0,1505.0,19.0,63.0,256.0,84.0,811.0,482.0,413.0,248.0,517.0,243.0,71.0,25.0,3.0,0.0,24.0,27.0,6.0,12.0,13.0,5.0,4.0,38.0,0.0,12.0,0.0,2.0,2.0,0.0,2.0,1.0,23.0,18.0,723.0,356.0,3138.0,1517.0,60.0,34.0,54.0,2.0,2021,4,1411542,参考第2表(4月),福井県,136.6396,35.4434,5925.0,1.0
36,36,2021-03-01,18313.0,18.0,0.0,5.0,9.0,2.0,11.0,30.0,40.0,12.0,39.0,121.0,119.0,854.0,209.0,55.0,458.0,417.0,8744.0,18.0,125.0,462.0,76.0,1723.0,240.0,771.0,740.0,1891.0,608.0,260.0,42.0,15.0,0.0,46.0,57.0,12.0,14.0,14.0,8.0,2.0,20.0,3.0,0.0,0.0,7.0,4.0,2.0,10.0,0.0,18.0,57.0,1412.0,1055.0,11245.0,4312.0,130.0,38.0,36.0,10.0,2021,3,1406192,参考第2表(3月),福井県,136.4594,35.6419,18313.0,0.0
37,37,2021-02-01,6384.0,2.0,0.0,4.0,4.0,2.0,0.0,5.0,11.0,4.0,21.0,51.0,50.0,263.0,68.0,35.0,130.0,254.0,2627.0,14.0,44.0,147.0,40.0,535.0,127.0,395.0,328.0,762.0,258.0,114.0,16.0,3.0,0.0,10.0,17.0,11.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,15.0,482.0,463.0,3476.0,1873.0,41.0,10.0,22.0,0.0,2021,2,1402241,参考第2表(2月),福井県,136.4173,35.5812,6384.0,0.0
38,38,2021-01-01,5598.0,3.0,0.0,0.0,7.0,0.0,0.0,2.0,10.0,9.0,26.0,21.0,27.0,199.0,60.0,13.0,142.0,298.0,2230.0,8.0,39.0,128.0,53.0,432.0,52.0,323.0,393.0,711.0,210.0,94.0,26.0,5.0,2.0,18.0,19.0,3.0,12.0,5.0,6.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,9.0,360.0,492.0,2895.0,1757.0,47.0,23.0,8.0,4.0,2021,1,1395039,参考第2表(1月),福井県,136.3612,35.5739,5598.0,0.0
39,39,2020-12-01,19955.0,41.0,5.0,2.0,14.0,2.0,2.0,20.0,76.0,50.0,91.0,572.0,258.0,2073.0,427.0,74.0,438.0,727.0,4693.0,52.0,150.0,767.0,144.0,2790.0,465.0,1181.0,1062.0,2138.0,754.0,325.0,88.0,1.0,8.0,25.0,88.0,16.0,22.0,25.0,9.0,2.0,215.0,2.0,5.0,10.0,1.0,11.0,5.0,25.0,4.0,41.0,45.0,3599.0,1389.0,8859.0,5548.0,138.0,58.0,249.0,25.0,2020,12,1387590,参考第2表(12月),福井県,136.7745,35.469,19951.0,4.0
40,40,2020-11-01,25119.0,205.0,6.0,8.0,29.0,10.0,19.0,58.0,72.0,74.0,106.0,568.0,400.0,3410.0,568.0,169.0,328.0,583.0,4514.0,138.0,257.0,982.0,346.0,4028.0,643.0,901.0,959.0,3301.0,1020.0,445.0,146.0,9.0,12.0,116.0,204.0,41.0,19.0,23.0,45.0,4.0,264.0,5.0,1.0,10.0,27.0,11.0,6.0,27.0,2.0,205.0,130.0,5336.0,1337.0,10513.0,6772.0,382.0,91.0,324.0,27.0,2020,11,1384547,参考第2表(11月),福井県,136.9155,35.4545,25117.0,2.0
41,41,2020-10-01,20464.0,22.0,8.0,15.0,35.0,6.0,3.0,34.0,73.0,78.0,103.0,351.0,247.0,1910.0,480.0,180.0,471.0,658.0,4216.0,56.0,155.0,867.0,261.0,3371.0,359.0,860.0,797.0,2456.0,1161.0,396.0,142.0,21.0,9.0,83.0,182.0,27.0,35.0,18.0,23.0,5.0,186.0,6.0,9.0,24.0,28.0,6.0,13.0,17.0,1.0,22.0,101.0,3298.0,1464.0,9074.0,5812.0,322.0,81.0,272.0,17.0,2020,10,1379354,参考第2表(10月),福井県,136.7066,35.4258,20463.0,1.0
